"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-01","0.00","0.0","0.0","65","52"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-02","0.00","0.0","0.0","68","51"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-03","0.00","0.0","0.0","61","50"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-04","0.00","0.0","0.0","59","51"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-05","0.00","0.0","0.0","60","51"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-06","0.00","0.0","0.0","63","49"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-07","0.00","0.0","0.0","58","48"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-08","0.00","0.0","0.0","53","48"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-09","0.02","0.0","0.0","59","50"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-10","0.00","0.0","0.0","69","49"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-11","0.00","0.0","0.0","66","52"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-12","0.00","0.0","0.0","58","47"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-13","0.00","0.0","0.0","54","46"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-14","0.00","0.0","0.0","51","46"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-15","0.19","0.0","0.0","58","50"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-16","1.29","0.0","0.0","62","53"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-17","0.00","0.0","0.0","60","49"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-18","0.34","0.0","0.0","60","52"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-19","0.08","0.0","0.0","61","50"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-20","0.38","0.0","0.0","57","47"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-21","0.26","0.0","0.0","59","48"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-22","0.00","0.0","0.0","56","46"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-23","0.05","0.0","0.0","54","43"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-24","0.79","0.0","0.0","58","51"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-25","0.00","0.0","0.0","58","47"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-26","0.00","0.0","0.0","52","42"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-27","0.69","0.0","0.0","61","51"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-28","0.00","0.0","0.0","59","43"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-29","0.00","0.0","0.0","55","46"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-30","0.76","0.0","0.0","58","51"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-01-31","1.31","0.0","0.0","60","51"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-01","0.00","0.0","0.0","59","48"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-02","0.00","0.0","0.0","61","53"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-03","0.40","0.0","0.0","59","53"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-04","1.81","0.0","0.0","62","57"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-05","0.00","0.0","0.0","68","56"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-06","0.02","0.0","0.0","66","52"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-07","0.00","0.0","0.0","63","51"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-08","0.00","0.0","0.0","62","50"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-09","0.00","0.0","0.0","64","54"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-10","0.00","0.0","0.0","67","55"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-11","0.00","0.0","0.0","72","53"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-12","0.00","0.0","0.0","75","53"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-13","0.00","0.0","0.0","72","54"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-14","0.00","0.0","0.0","70","53"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-15","0.45","0.0","0.0","62","54"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-16","0.00","0.0","0.0","71","58"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-17","0.07","0.0","0.0","65","59"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-18","0.27","0.0","0.0","63","56"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-19","0.40","0.0","0.0","61","57"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-20","0.47","0.0","0.0","63","56"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-21","0.77","0.0","0.0","58","45"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-22","0.10","0.0","0.0","57","44"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-23","0.13","0.0","0.0","57","43"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-24","0.06","0.0","0.0","53","42"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-25","0.00","0.0","0.0","53","40"
"USW00023239","ALAMEDA NAS, CA US","37.78333","-122.31667","9.1","1996-02-26","0.00","0.0","0.0","56","40"
